Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
exsample,example,were young people help for ***mask*** orchestra they play music without,IH K S AE M P AH L,"['example', 'sampled', 'sample']",['example'],"['sampled', 'example', 'sample']","['example', 'sample', 'sampled']",['example'],"['example', 'sample', 'sampled']"
dwhich,which,are not really paid an ***mask*** are done from young people,D AH W IH CH,"['twitch', 'bewitch', 'dewitt', 'switch', 'switcher', 'dovish', 'which', 'dulling', 'duckies', 'dunning']",['which'],"['dunning', 'dewitt', 'switcher', 'switch', 'dovish', 'duckies', 'bewitch', 'dulling', 'which', 'twitch']","['which', 'dovish', 'bewitch', 'switcher', 'switch', 'dunning', 'twitch', 'dewitt', 'duckies', 'dulling']",['which'],"['which', 'dovish', 'bewitch', 'switcher', 'switch', 'dunning', 'twitch', 'dewitt', 'duckies', 'dulling']"
streetworkers,streetwalkers,from young people for example ***mask*** or some people who work,S T R IY T W ER K ER Z,['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers'],['steelworkers']
youthclubs,youth clubs,some people who work in ***mask*** they do a lot of,Y UW TH K L AH B Z,[''],['youthclubs'],['youthclubs'],[''],['youthclubs'],['youthclubs']
enitrely,entirely,call the older persons life ***mask*** boring the only difference is,EH N IH T R AH L IY,"['entropy', 'entrails', 'centrally', 'literally', 'neutrally', 'mentally']",['entirely'],"['entirely', 'entropy', 'mentally', 'centrally', 'literally', 'neutrally', 'entrails']","['literally', 'mentally', 'entrails', 'centrally', 'neutrally', 'entropy']",['entirely'],"['entirely', 'literally', 'mentally', 'entrails', 'centrally', 'neutrally', 'entropy']"
economised,economise,relationships get more and more ***mask*** it is very important to,IH K AA N AH M AY Z D,"['economize', 'economizing', 'economize', 'economies', 'minimized']",['economise'],"['economies', 'economize', 'economise', 'minimized', 'economizing']","['economies', 'minimized', 'economize', 'economizing']",['economise'],"['economies', 'minimized', 'economizing', 'economize', 'economise']"
childreen,children,to play when they are ***mask*** they have specific problems while,CH AY L D R IY N,"['children', 'childcare']",['children'],"['childcare', 'children']","['children', 'childcare']",['children'],"['children', 'childcare']"
everzbody,everybody,agree with the statement because ***mask*** could need help,EH V ER Z B AA D IY,['everybody'],['everybody'],['everybody'],['everybody'],['everybody'],['everybody']
luxus,luxury,fifty years ago cars were ***mask*** but today a car bellongs,L AH K S AH S,"['lexus', 'luckless', 'lexis', 'nexus', 'texas', 'success', 'luxor', 'lacrosse', 'likeness', 'axis']","['lupus', 'lexus', 'fluxus']","['lexis', 'success', 'lupus', 'fluxus', 'lacrosse', 'nexus', 'texas', 'lexus', 'luckless', 'axis', 'luxor', 'likeness']","['luckless', 'texas', 'luxor', 'success', 'lacrosse', 'lexis', 'likeness', 'lexus', 'nexus', 'axis']","['lexus', 'lupus', 'fluxus']","['luckless', 'texas', 'luxor', 'success', 'lacrosse', 'lexis', 'likeness', 'lexus', 'nexus', 'axis', 'lupus', 'fluxus']"
bellongs,belongs,luxus but today a car ***mask*** to life standard only few,B EH L AO NG Z,"['belongs', 'belonged', 'billings', 'bearings', 'belong', 'bellows', 'bylaws', 'belling', 'belize', 'bellies']",['belongs'],"['belongs', 'billings', 'bearings', 'bylaws', 'belling', 'belong', 'bellies', 'bellows', 'belonged', 'belize']","['belongs', 'belong', 'belonged', 'bylaws', 'belling', 'bellies', 'bellows', 'billings', 'belize', 'bearings']",['belongs'],"['belongs', 'belong', 'belonged', 'bylaws', 'belling', 'bellies', 'bellows', 'billings', 'belize', 'bearings']"
challengend,challenged,risky and like to be ***mask*** but this is why they,CH AE L AH N JH EH N D,['challenged'],['challenged'],['challenged'],['challenged'],['challenged'],['challenged']
coorperations,cooperation,economic plans of the automobile ***mask*** to steadily increase the selling,K OW AO R P ER EY SH AH N Z,"['corporations', 'corporation', 'corp']","['corporations', 'cooperation']","['corporations', 'corporation', 'corp', 'cooperation']","['corporation', 'corporations', 'corp']","['corporations', 'cooperation']","['corporation', 'corporations', 'cooperation', 'corp']"
acess,access,the meanwhile usual builtin internet ***mask*** than waiting at a freezy,EY S AH S,"['isis', 'races', 'anus', 'amos', 'rhesus', 'ices', 'aces', 'asses', 'assess', 'versus']","['access', 'cess', 'aces', 'amess', 'acers']","['access', 'amos', 'asses', 'cess', 'aces', 'ices', 'amess', 'acers', 'versus', 'rhesus', 'races', 'assess', 'isis', 'anus']","['anus', 'races', 'rhesus', 'asses', 'versus', 'aces', 'ices', 'isis', 'amos', 'assess']","['access', 'cess', 'acers', 'aces', 'amess']","['access', 'anus', 'races', 'rhesus', 'asses', 'versus', 'cess', 'acers', 'aces', 'ices', 'amess', 'isis', 'amos', 'assess']"
lifstyle,lifestyle,heading for a more convinient ***mask*** this includes having more individuality,L IH F S T AY L,"['lifestyle', 'lifestyles', 'freestyle']",['lifestyle'],"['lifestyle', 'freestyle', 'lifestyles']","['lifestyle', 'lifestyles', 'freestyle']",['lifestyle'],"['lifestyle', 'lifestyles', 'freestyle']"
builtin,building,entertainment center the meanwhile usual ***mask*** internet acess than waiting at,B IH L T IH N,"['builtin', 'building', 'belting', 'bolton', 'billiton', 'bolting', 'berliner', 'bilking', 'milton', 'hilton']",['built-in'],"['milton', 'builtin', 'hilton', 'built-in', 'bolting', 'belting', 'bilking', 'berliner', 'building', 'billiton', 'bolton']","['builtin', 'building', 'billiton', 'bilking', 'belting', 'bolton', 'berliner', 'hilton', 'milton', 'bolting']",['built-in'],"['builtin', 'built-in', 'building', 'billiton', 'bilking', 'belting', 'bolton', 'berliner', 'hilton', 'milton', 'bolting']"
chineese,chinese,years think of all the ***mask*** people who still do have,CH IH N IY Z,"['chinese', 'chillies', 'minis', 'guineas', 'journeys', 'denise', 'chimneys', 'sneeze', 'cherries', 'nannies']",['chinese'],"['chimneys', 'cherries', 'denise', 'sneeze', 'chinese', 'minis', 'journeys', 'nannies', 'guineas', 'chillies']","['chinese', 'minis', 'sneeze', 'cherries', 'chillies', 'denise', 'journeys', 'nannies', 'guineas', 'chimneys']",['chinese'],"['chinese', 'minis', 'sneeze', 'cherries', 'chillies', 'denise', 'journeys', 'nannies', 'guineas', 'chimneys']"
puplic,public,not that much as the ***mask*** transportation becomes more attractive with,P AH P L IH K,"['public', 'peptic', 'poplin', 'purplish', 'publish', 'coupling', 'puzzling', 'puppet', 'uptick', 'pelvic']",['public'],"['pelvic', 'poplin', 'coupling', 'peptic', 'uptick', 'purplish', 'public', 'puppet', 'publish', 'puzzling']","['public', 'uptick', 'pelvic', 'poplin', 'purplish', 'puzzling', 'puppet', 'coupling', 'publish', 'peptic']",['public'],"['public', 'uptick', 'pelvic', 'poplin', 'purplish', 'puzzling', 'puppet', 'coupling', 'publish', 'peptic']"
hamrs,hairs,but in contrary even sometimes ***mask*** the skin if this would,HH AE M ER Z,"['hammers', 'homers', 'hammered', 'hangers', 'hangars', 'hackers', 'hems', 'hymns', 'hums', 'hands', 'hans']","['hams', 'harms', 'hamas', 'hairs']","['hairs', 'hymns', 'hammered', 'hems', 'homers', 'hums', 'hammers', 'hands', 'hangers', 'hackers', 'harms', 'hamas', 'hams', 'hangars', 'hans']","['hangers', 'hands', 'hammers', 'hems', 'hums', 'hackers', 'hans', 'homers', 'hammered', 'hymns', 'hangars']","['harms', 'hairs', 'hams', 'hamas']","['harms', 'hangers', 'hands', 'hairs', 'hams', 'hammers', 'hems', 'hums', 'hackers', 'hans', 'homers', 'hammered', 'hymns', 'hamas', 'hangars']"
exaample,example,magazines or something alike for ***mask*** computer magazines that test hardware,IH G Z AA M P AH L,"['example', 'examples']",['example'],"['examples', 'example']","['example', 'examples']",['example'],"['example', 'examples']"
characterisitcs,characteristics,product to show this hidden ***mask*** almost every product is tested,K EH R AH K T ER IH Z IH T S,[''],['characteristics'],['characteristics'],[''],['characteristics'],['characteristics']
advertisments,advertisements,a much cheaper product in ***mask*** flaws of products are never,AE D V ER T IH Z M AH N T S,"['advertisements', 'advertisement', 'advertisement']","['advertisements', 'advertisment']","['advertisement', 'advertisements', 'advertisment']","['advertisement', 'advertisements']","['advertisements', 'advertisment']","['advertisement', 'advertisements', 'advertisment']"
actuallt,actually,of a product than it ***mask*** is very likely an example,AE K CH UW AH L T,"['actually', 'actuate', 'factual', 'actuator', 'actual', 'actualize', 'factually']",['actually'],"['actualize', 'factually', 'actuate', 'actuator', 'factual', 'actual', 'actually']","['actually', 'actualize', 'actual', 'actuator', 'actuate', 'factually', 'factual']",['actually'],"['actually', 'actualize', 'actual', 'actuator', 'actuate', 'factually', 'factual']"
merrits,merits,that everything has not only ***mask*** but also flaws which are,M EH R IH T S,"['merits', 'merits', 'melts', 'narrates', 'narrates', 'merritt', 'berets', 'marts', 'ferrets', 'carrots', 'carats']","['merits', 'merritt']","['marts', 'merits', 'ferrets', 'narrates', 'carrots', 'merritt', 'melts', 'carats', 'berets']","['merits', 'berets', 'ferrets', 'melts', 'carrots', 'marts', 'merritt', 'carats', 'narrates']","['merits', 'merritt']","['merits', 'berets', 'ferrets', 'melts', 'carrots', 'marts', 'merritt', 'carats', 'narrates']"
nessecary,nessecary,and noise also it is ***mask*** to built roads through woods,N EH S AH K EH R IY,"['necessary', 'ancillary']",['nessecary'],"['nessecary', 'necessary', 'ancillary']","['necessary', 'ancillary']",['nessecary'],"['necessary', 'ancillary', 'nessecary']"
sstems,systems,the cars could have solar ***mask*** on the roof so the,S T EH M Z,"['stems', 'steams', 'stemmed', 'stairs', 'stares', 'strums', 'streams', 'steamers', 'storms', 'steppers']","['systems', 'stems']","['systems', 'storms', 'stares', 'stairs', 'steamers', 'stemmed', 'steppers', 'steams', 'streams', 'stems', 'strums']","['storms', 'streams', 'steams', 'stems', 'stares', 'stairs', 'strums', 'steamers', 'steppers', 'stemmed']","['systems', 'stems']","['systems', 'storms', 'streams', 'steams', 'stems', 'stares', 'stairs', 'strums', 'steamers', 'steppers', 'stemmed']"
destroied,destroyed,and so their homeplaces were ***mask*** people can also go by,D IH S T R OY D,"['destroyed', 'destroyer', 'destroys', 'destroyers', 'destroy', 'distraught', 'destroying', 'disturbed', 'distress', 'distilled']",['destroyed'],"['destroys', 'destroying', 'disturbed', 'destroy', 'destroyers', 'destroyed', 'distraught', 'destroyer', 'distilled', 'distress']","['destroyed', 'disturbed', 'destroyers', 'destroy', 'distilled', 'destroys', 'distraught', 'destroying', 'destroyer', 'distress']",['destroyed'],"['destroyed', 'disturbed', 'destroyers', 'destroy', 'distilled', 'destroys', 'distraught', 'destroying', 'destroyer', 'distress']"
bycicles,bicycles,go by train bus and ***mask*** or by feet or drive,B AY S IH K AH L Z,"['bicycles', 'bicycled', 'bicycle', 'icicles', 'bifocals', 'bicycling', 'bicyclists', 'bicycling', 'icicle', 'sickles']","['bicycles', 'beccles', 'icicles']","['icicle', 'bifocals', 'icicles', 'bicycled', 'bicyclists', 'bicycles', 'sickles', 'bicycling', 'bicycle', 'beccles']","['bicycled', 'bicycle', 'bicycles', 'sickles', 'icicle', 'icicles', 'bifocals', 'bicyclists', 'bicycling']","['bicycles', 'beccles', 'icicles']","['bicycled', 'bicycle', 'bicycles', 'beccles', 'sickles', 'icicle', 'icicles', 'bifocals', 'bicyclists', 'bicycling']"
homeplaces,homes,creatures live and so their ***mask*** were destroied people can also,HH OW M P L EY S IH Z,[''],['someplace'],['someplace'],[''],['someplace'],['someplace']
whrere,where,roads through woods and fields ***mask*** many wild creatures live and,HH R IH R,"['greer', 'hair', 'hare', 'herr', 'hill', 'hit', 'hid', 'hire', 'here', 'hear']",['where'],"['herr', 'hid', 'hare', 'hire', 'greer', 'hill', 'hair', 'hit', 'here', 'where', 'hear']","['here', 'hear', 'hid', 'hill', 'hare', 'herr', 'hair', 'hire', 'hit', 'greer']",['where'],"['where', 'here', 'hear', 'hid', 'hill', 'hare', 'herr', 'hair', 'hire', 'hit', 'greer']"
bz,by,air would nont be polluted ***mask*** this way this would be,B IY T IY Z IY,"['beaters', 'breezy', 'booties', 'wheaties', 'beatles', 'beetles', 'batteries', 'beatings', 'meteors', 'beastly']","['b+', 'bg', 'bt', 'bc', 'bq', 'nz', 'bn', 'bf', 'b', 'yz', 'dz', 'bp', 'b.', 'bx', 'bd', 'baz', 'b1', 'by', 'zz', 'bzw', 'ba', 'hz', 'b6', 'b4', 'lz', 'bo', 'bw', 'bb', 'be', 'boz', 'b9', 'bl', 'bu', 'bh', 'b5', 'bs', 'sz', 'b-', 'mz', 'xz', 'bj', 'bv', 'b8', 'bk', 'b2', 'bkz', 'bzz', 'b7', 'bm', 'bez', 'biz', 'iz', 'b3', 'z', 'br', 'bi', 'oz']","['batteries', 'bq', 'bf', 'b', 'yz', 'bp', 'b.', 'baz', 'b1', 'zz', 'ba', 'b6', 'lz', 'booties', 'bw', 'bb', 'be', 'boz', 'bl', 'bh', 'bs', 'sz', 'b-', 'mz', 'breezy', 'b2', 'bkz', 'bez', 'biz', 'iz', 'b3', 'beetles', 'z', 'br', 'bu', 'bi', 'oz', 'bg', 'b+', 'wheaties', 'bc', 'bt', 'nz', 'bn', 'dz', 'beatles', 'bx', 'bd', 'by', 'bzw', 'hz', 'b4', 'bo', 'b9', 'b5', 'xz', 'bj', 'bv', 'b8', 'bk', 'b7', 'bm', 'meteors', 'beastly', 'beaters', 'beatings', 'bzz']","['beatings', 'beaters', 'beastly', 'wheaties', 'batteries', 'beetles', 'booties', 'meteors', 'breezy', 'beatles']","['by', 'be', 'bez', 'iz', 'dz', 'b+', 'bq', 'b', 'b.', 'bx', 'bd', 'bzw', 'b6', 'b4', 'bw', 'b9', 'bl', 'bh', 'b5', 'b-', 'bj', 'bv', 'b8', 'b2', 'b7', 'bm', 'b3', 'bzz', 'bg', 'sz', 'mz', 'lz', 'yz', 'xz', 'baz', 'ba', 'bc', 'br', 'bi', 'biz', 'bu', 'bo', 'boz', 'bt', 'bs', 'nz', 'oz', 'bp', 'zz', 'z', 'b1', 'bk', 'bkz', 'bb', 'bn', 'hz', 'bf']","['by', 'be', 'bez', 'iz', 'dz', 'b+', 'bg', 'bq', 'b', 'b.', 'bx', 'bd', 'bzw', 'b6', 'b4', 'bw', 'bl', 'b9', 'bh', 'b5', 'b-', 'bj', 'bv', 'b8', 'b2', 'bzz', 'b7', 'bm', 'b3', 'sz', 'mz', 'lz', 'yz', 'beatings', 'xz', 'beaters', 'baz', 'ba', 'bc', 'br', 'biz', 'bi', 'bu', 'bo', 'boz', 'bt', 'beastly', 'wheaties', 'bs', 'nz', 'batteries', 'oz', 'bp', 'zz', 'z', 'b1', 'bk', 'bkz', 'beetles', 'bb', 'booties', 'bn', 'meteors', 'hz', 'breezy', 'beatles', 'bf']"
recources,resources,will force this behaviour oil ***mask*** are decreasing remarkable in the,R IH K AO R S IH Z,"['recorders', 'records', 'resources', 'recorded', 'divorces', 'recording', 'choruses', 'discourses', 'discourses', 'recordings']",['resources'],"['discourses', 'recordings', 'records', 'choruses', 'divorces', 'recording', 'recorders', 'resources', 'recorded']","['resources', 'records', 'recordings', 'recorded', 'recording', 'discourses', 'divorces', 'choruses', 'recorders']",['resources'],"['resources', 'records', 'recordings', 'recorded', 'recording', 'discourses', 'divorces', 'choruses', 'recorders']"
declaired,declared,sometimes even a book wich ***mask*** to be the best praparation,D IH K L EH R D,"['declared', 'declares', 'dickhead', 'declaimed', 'declare', 'deplored', 'declined', 'declaring', 'decreed', 'decried']","['declared', 'declaimed']","['deplored', 'declares', 'decried', 'declare', 'declaimed', 'dickhead', 'declined', 'declared', 'decreed', 'declaring']","['declared', 'declares', 'declare', 'decreed', 'declaring', 'deplored', 'declined', 'decried', 'declaimed', 'dickhead']","['declared', 'declaimed']","['declared', 'declares', 'declare', 'decreed', 'declaring', 'deplored', 'declined', 'decried', 'declaimed', 'dickhead']"
comptible,compatible,place to have some vacationtime ***mask*** hotels and the magazin shows,K AA M P T AH B AH L,"['comparable', 'constable', 'compatible', 'comparably', 'adoptable']",['compatible'],"['comparable', 'comparably', 'adoptable', 'constable', 'compatible']","['compatible', 'comparably', 'comparable', 'adoptable', 'constable']",['compatible'],"['compatible', 'comparably', 'comparable', 'adoptable', 'constable']"
travelcataloges,travel catalogs,to use are advertisements in ***mask*** we look up in research,T R AE V AH L K AE T AH L AO JH AH Z,[''],['travelcataloges'],['travelcataloges'],[''],['travelcataloges'],['travelcataloges']
wunderfull,wonderfull,shows us a varitie of ***mask*** posibilities of enjoing our staying,W AH N D ER F AH L,"['wonderful', 'wonderfully', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']"
varitie,variety,the magazin shows us a ***mask*** of wunderfull posibilities of enjoing,V EH R IH T IY,"['verity', 'verity', 'charity', 'rarity', 'verdi', 'vanity', 'parity', 'rarity', 'merits', 'levity']","['variate', 'parities', 'maritime', 'rarities', 'partie', 'vanities', 'verities', 'varieties']","['variate', 'verdi', 'parities', 'verity', 'charity', 'vanity', 'merits', 'maritime', 'levity', 'rarities', 'partie', 'rarity', 'vanities', 'verities', 'parity', 'varieties']","['vanity', 'verity', 'rarity', 'charity', 'merits', 'parity', 'verdi', 'levity']","['partie', 'varieties', 'rarities', 'vanities', 'variate', 'parities', 'verities', 'maritime']","['vanity', 'partie', 'varieties', 'verity', 'rarities', 'rarity', 'vanities', 'charity', 'variate', 'merits', 'parities', 'parity', 'verities', 'verdi', 'maritime', 'levity']"
vacationtime,vacation time,nice place to have some ***mask*** comptible hotels and the magazin,V EY K EY SH AH N T AY M,[''],['vacationtime'],['vacationtime'],[''],['vacationtime'],['vacationtime']
fashonindustry,fashion industry,think about cataloges around the ***mask*** we have all these perfect,F AE SH AH N IH N D AH S T R IY,[''],['fashonindustry'],['fashonindustry'],[''],['fashonindustry'],['fashonindustry']
dreambodys,dream bodies,looking models in mind with ***mask*** and we suggest the clothes,D R IY M B AA D IY Z,[''],['dreambodys'],['dreambodys'],[''],['dreambodys'],['dreambodys']
magzin,magazine,left from the sites the ***mask*** had offered us this can,M AE G Z IH N,"['magazine', 'madelyn', 'magnum', 'magnate', 'magnet', 'magnate', 'magpies', 'jasmine', 'mags']",['mazzin'],"['mags', 'magnate', 'jasmine', 'mazzin', 'magpies', 'magnet', 'madelyn', 'magnum', 'magazine']","['magazine', 'madelyn', 'mags', 'magpies', 'jasmine', 'magnum', 'magnet', 'magnate']",['mazzin'],"['magazine', 'madelyn', 'mags', 'magpies', 'jasmine', 'magnum', 'magnet', 'mazzin', 'magnate']"
enjoing,enjoying,varitie of wunderfull posibilities of ***mask*** our staying and by the,EH N JH OW IH NG,"['enjoying', 'injuring', 'unknowing', 'ongoing', 'ongoing', 'endowing', 'entering', 'ensuing', 'elbowing', 'anything']","['enjoins', 'enjoin', 'enjoying']","['endowing', 'enjoin', 'anything', 'elbowing', 'injuring', 'ensuing', 'entering', 'unknowing', 'enjoying', 'ongoing', 'enjoins']","['enjoying', 'entering', 'endowing', 'unknowing', 'anything', 'injuring', 'ongoing', 'ensuing', 'elbowing']","['enjoying', 'enjoins', 'enjoin']","['enjoying', 'entering', 'endowing', 'enjoin', 'enjoins', 'unknowing', 'anything', 'injuring', 'ongoing', 'ensuing', 'elbowing']"
perfekt,perfect,models are wearing must also ***mask*** fit to us we have,P ER F IH K T,"['perfect', 'perfect', 'pricked', 'perfecta', 'perforate', 'panicked', 'surfaced', 'persist', 'verdict', 'perfidy']",['perfect'],"['perfect', 'perforate', 'persist', 'pricked', 'perfidy', 'verdict', 'surfaced', 'perfecta', 'panicked']","['perfect', 'perfecta', 'perforate', 'perfidy', 'pricked', 'persist', 'verdict', 'panicked', 'surfaced']",['perfect'],"['perfect', 'perfecta', 'perforate', 'perfidy', 'pricked', 'persist', 'verdict', 'panicked', 'surfaced']"
praparation,preparation,declaired to be the best ***mask*** for a test and it,P R AE P ER EY SH AH N,"['preparation', 'perspiration', 'evaporation', 'evaporation', 'preparations', 'reparation', 'aspiration', 'corporation', 'corp', 'respiration']",['preparation'],"['preparation', 'aspiration', 'preparations', 'corporation', 'perspiration', 'corp', 'reparation', 'respiration', 'evaporation']","['preparation', 'preparations', 'aspiration', 'corporation', 'perspiration', 'reparation', 'respiration', 'evaporation', 'corp']",['preparation'],"['preparation', 'preparations', 'aspiration', 'corporation', 'perspiration', 'reparation', 'respiration', 'evaporation', 'corp']"
magazin,magazine,vacationtime comptible hotels and the ***mask*** shows us a varitie of,M AE G AH Z IH N,"['magazine', 'madeline', 'mannequin', 'magazines']",['magazine'],"['mannequin', 'magazines', 'madeline', 'magazine']","['magazine', 'magazines', 'madeline', 'mannequin']",['magazine'],"['magazine', 'magazines', 'madeline', 'mannequin']"
posibilities,possibilities,us a varitie of wunderfull ***mask*** of enjoing our staying and,P AA Z AH B IH L AH T IY Z,"['possibilities', 'probabilities', 'possibility', 'capabilities', 'probability']",['possibilities'],"['probability', 'capabilities', 'probabilities', 'possibilities', 'possibility']","['probability', 'possibility', 'possibilities', 'capabilities', 'probabilities']",['possibilities'],"['probability', 'possibility', 'possibilities', 'capabilities', 'probabilities']"
productes,products,statement that most advertisement make ***mask*** looking better than they actually,P R AH D AH K T S,"['products', 'predicts', 'protects', 'predicts', 'productive', 'viaducts', 'predicates', 'products', 'product', 'predicate']","['produces', 'products']","['products', 'produces', 'product', 'predicts', 'predicates', 'viaducts', 'productive', 'predicate', 'protects']","['products', 'product', 'predicates', 'predicate', 'predicts', 'viaducts', 'protects', 'productive']","['products', 'produces']","['products', 'product', 'produces', 'predicates', 'predicate', 'predicts', 'viaducts', 'protects', 'productive']"
cataloges,catalogs,reasons if we think about ***mask*** around the fashonindustry we have,K AE T AH L AO G Z,"['catalogues', 'catalogued', 'catalogue', 'catalans', 'cataloguing', 'categorize']","['catalogues', 'catalogus']","['categorize', 'cataloguing', 'catalogus', 'catalogued', 'catalogue', 'catalogues', 'catalans']","['categorize', 'catalogue', 'catalogues', 'catalogued', 'catalans', 'cataloguing']","['catalogues', 'catalogus']","['categorize', 'catalogue', 'catalogues', 'catalogued', 'catalans', 'cataloguing', 'catalogus']"
parant,parent,have to do what their ***mask*** want because the parents give,P EH R AH N T,"['parent', 'pennant', 'peasant', 'present', 'baronet', 'payment', 'parents', 'apparent', 'parrot', 'errant']","['parent', 'parang', 'parana']","['present', 'payment', 'pennant', 'parrot', 'parana', 'baronet', 'parent', 'apparent', 'errant', 'parang', 'parents', 'peasant']","['parents', 'parent', 'present', 'parrot', 'errant', 'payment', 'apparent', 'peasant', 'pennant', 'baronet']","['parent', 'parang', 'parana']","['parents', 'parent', 'present', 'parrot', 'errant', 'payment', 'apparent', 'peasant', 'parang', 'pennant', 'baronet', 'parana']"
strenthening,strengthening,work can thus contribute to ***mask*** people sense of responsibility and,S T R EH N TH AH N IH NG,['strengthening'],['strengthening'],['strengthening'],['strengthening'],['strengthening'],['strengthening']
particlarly,particularly,is limited to young people ***mask*** in larger cities where life,P AA R T IH K L ER L IY,['particularly'],['particularly'],['particularly'],['particularly'],['particularly'],['particularly']
