Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
childreen,children,restrictions in different places and situations young people need time to play when they are ***mask*** they have specific problems while becoming adults and there is more and more pressure on,CH AY L D R IY N,"['children', 'childcare']",['children'],"['childcare', 'children']","['children', 'childcare']",['children'],"['children', 'childcare']"
everzbody,everybody,contract in germany younger people help elderly to summarise i agree with the statement because ***mask*** could need help,EH V ER Z B AA D IY,['everybody'],['everybody'],['everybody'],['everybody'],['everybody'],['everybody']
luxus,luxury,what is the situation in the so called western world fifty years ago cars were ***mask*** but today a car bellongs to life standard only few families have no car and,L AH K S AH S,"['lexus', 'luckless', 'lexis', 'nexus', 'texas', 'success', 'luxor', 'lacrosse', 'likeness', 'axis']","['lupus', 'lexus', 'fluxus']","['lexis', 'success', 'lupus', 'fluxus', 'lacrosse', 'nexus', 'texas', 'lexus', 'luckless', 'axis', 'luxor', 'likeness']","['luckless', 'luxor', 'lexis', 'success', 'lexus', 'texas', 'lacrosse', 'axis', 'nexus', 'likeness']","['lexus', 'lupus', 'fluxus']","['luckless', 'luxor', 'lexis', 'success', 'lexus', 'texas', 'lupus', 'lacrosse', 'axis', 'nexus', 'fluxus', 'likeness']"
bellongs,belongs,the so called western world fifty years ago cars were luxus but today a car ***mask*** to life standard only few families have no car and the production of cheap small,B EH L AO NG Z,"['belongs', 'belonged', 'billings', 'bearings', 'belong', 'bellows', 'bylaws', 'belling', 'belize', 'bellies']",['belongs'],"['belongs', 'billings', 'bearings', 'bylaws', 'belling', 'belong', 'bellies', 'bellows', 'belonged', 'belize']","['belongs', 'belong', 'belonged', 'bylaws', 'belling', 'bellies', 'bellows', 'bearings', 'billings', 'belize']",['belongs'],"['belongs', 'belong', 'belonged', 'bylaws', 'belling', 'bellies', 'bellows', 'bearings', 'billings', 'belize']"
challengend,challenged,as a risky person todays people are most likely more risky and like to be ***mask*** but this is why they can easily fail for instance i had a friend who,CH AE L AH N JH EH N D,['challenged'],['challenged'],['challenged'],['challenged'],['challenged'],['challenged']
coorperations,cooperation,train station if you take this and think of the economic plans of the automobile ***mask*** to steadily increase the selling numbers by introducing their products on new markets like china,K OW AO R P ER EY SH AH N Z,"['corporations', 'corporation', 'corp']","['corporations', 'cooperation']","['corporations', 'corporation', 'corp', 'cooperation']","['corporations', 'corporation', 'corp']","['corporations', 'cooperation']","['corporations', 'corporation', 'corp', 'cooperation']"
acess,access,wait in the traffic jam with his audio entertainment center the meanwhile usual builtin internet ***mask*** than waiting at a freezy train station if you take this and think of the,EY S AH S,"['isis', 'races', 'anus', 'amos', 'rhesus', 'ices', 'aces', 'asses', 'assess', 'versus']","['access', 'cess', 'aces', 'amess', 'acers']","['access', 'amos', 'asses', 'cess', 'aces', 'ices', 'amess', 'acers', 'versus', 'rhesus', 'races', 'assess', 'isis', 'anus']","['anus', 'asses', 'rhesus', 'races', 'versus', 'amos', 'aces', 'ices', 'isis', 'assess']","['access', 'cess', 'acers', 'aces', 'amess']","['access', 'anus', 'asses', 'rhesus', 'races', 'versus', 'cess', 'acers', 'amos', 'aces', 'ices', 'isis', 'amess', 'assess']"
lifstyle,lifestyle,last decades it is clearly to recognise that mankind is heading for a more convinient ***mask*** this includes having more individuality for your own so what does this mean then so,L IH F S T AY L,"['lifestyle', 'lifestyles', 'freestyle']",['lifestyle'],"['lifestyle', 'freestyle', 'lifestyles']","['lifestyle', 'lifestyles', 'freestyle']",['lifestyle'],"['lifestyle', 'lifestyles', 'freestyle']"
builtin,building,drivers to wait in the traffic jam with his audio entertainment center the meanwhile usual ***mask*** internet acess than waiting at a freezy train station if you take this and think,B IH L T IH N,"['builtin', 'building', 'belting', 'bolton', 'billiton', 'bolting', 'berliner', 'bilking', 'milton', 'hilton']",['built-in'],"['milton', 'builtin', 'hilton', 'built-in', 'bolting', 'belting', 'bilking', 'berliner', 'building', 'billiton', 'bolton']","['building', 'billiton', 'bilking', 'builtin', 'berliner', 'bolton', 'belting', 'milton', 'bolting', 'hilton']",['built-in'],"['building', 'billiton', 'bilking', 'builtin', 'built-in', 'berliner', 'bolton', 'belting', 'milton', 'bolting', 'hilton']"
chineese,chinese,to believe the number will reduce over the next 20 years think of all the ***mask*** people who still do have a car in their family think of them getting to,CH IH N IY Z,"['chinese', 'chillies', 'minis', 'guineas', 'journeys', 'denise', 'chimneys', 'sneeze', 'cherries', 'nannies']",['chinese'],"['chimneys', 'cherries', 'denise', 'sneeze', 'chinese', 'minis', 'journeys', 'nannies', 'guineas', 'chillies']","['chinese', 'minis', 'journeys', 'cherries', 'sneeze', 'guineas', 'chillies', 'chimneys', 'denise', 'nannies']",['chinese'],"['chinese', 'minis', 'journeys', 'cherries', 'sneeze', 'guineas', 'chillies', 'chimneys', 'denise', 'nannies']"
puplic,public,that in big cities the number of cars may increase not that much as the ***mask*** transportation becomes more attractive with increasing traffic jams on the streets but it still seems,P AH P L IH K,"['public', 'peptic', 'poplin', 'purplish', 'publish', 'coupling', 'puzzling', 'puppet', 'uptick', 'pelvic']",['public'],"['pelvic', 'poplin', 'coupling', 'peptic', 'uptick', 'purplish', 'public', 'puppet', 'publish', 'puzzling']","['public', 'uptick', 'poplin', 'pelvic', 'purplish', 'puzzling', 'puppet', 'coupling', 'peptic', 'publish']",['public'],"['public', 'uptick', 'poplin', 'pelvic', 'purplish', 'puzzling', 'puppet', 'coupling', 'peptic', 'publish']"
hamrs,hairs,of human skin studies proved that they show no effect but in contrary even sometimes ***mask*** the skin if this would be told in an advertisment nobody would buy the cream,HH AE M ER Z,"['hammers', 'homers', 'hammered', 'hangers', 'hangars', 'hackers', 'hems', 'hymns', 'hums', 'hands', 'hans']","['hams', 'harms', 'hamas', 'hairs']","['hairs', 'hymns', 'hammered', 'hems', 'homers', 'hums', 'hammers', 'hands', 'hangers', 'hackers', 'harms', 'hamas', 'hams', 'hangars', 'hans']","['hangers', 'hums', 'hammers', 'hackers', 'hands', 'hems', 'hymns', 'hans', 'homers', 'hammered', 'hangars']","['harms', 'hairs', 'hams', 'hamas']","['harms', 'hairs', 'hangers', 'hums', 'hammers', 'hackers', 'hams', 'hands', 'hems', 'hymns', 'hans', 'homers', 'hammered', 'hangars', 'hamas']"
exaample,example,this hidden characterisitcs almost every product is tested by independent magazines or something alike for ***mask*** computer magazines that test hardware and software so you can not rely on advertisments,IH G Z AA M P AH L,"['example', 'examples']",['example'],"['examples', 'example']","['example', 'examples']",['example'],"['example', 'examples']"
characterisitcs,characteristics,better results so they always hide some sides of the product to show this hidden ***mask*** almost every product is tested by independent magazines or something alike for exaample computer magazines,K EH R AH K T ER IH Z IH T S,[''],['characteristics'],['characteristics'],[''],['characteristics'],['characteristics']
advertisments,advertisements,you do look carefully you might get the impression of a much cheaper product in ***mask*** flaws of products are never told expect there are special rights as with the phone,AE D V ER T IH Z M AH N T S,"['advertisements', 'advertisement', 'advertisement']","['advertisements', 'advertisment']","['advertisement', 'advertisements', 'advertisment']","['advertisements', 'advertisement']","['advertisements', 'advertisment']","['advertisements', 'advertisement', 'advertisment']"
actuallt,actually,companies will be bought this situation makes a better exposure of a product than it ***mask*** is very likely an example might be creams that should improve the look of human,AE K CH UW AH L T,"['actually', 'actuate', 'factual', 'actuator', 'actual', 'actualize', 'factually']",['actually'],"['actualize', 'factually', 'actuate', 'actuator', 'factual', 'actual', 'actually']","['actually', 'actualize', 'actual', 'factually', 'factual', 'actuator', 'actuate']",['actually'],"['actually', 'actualize', 'actual', 'factually', 'factual', 'actuator', 'actuate']"
merrits,merits,with the flaws of the contract the last reason is that everything has not only ***mask*** but also flaws which are typically not displayed in order to sell products the producer,M EH R IH T S,"['merits', 'merits', 'melts', 'narrates', 'narrates', 'merritt', 'berets', 'marts', 'ferrets', 'carrots', 'carats']","['merits', 'merritt']","['marts', 'merits', 'ferrets', 'narrates', 'carrots', 'merritt', 'melts', 'carats', 'berets']","['merits', 'berets', 'merritt', 'carrots', 'ferrets', 'melts', 'narrates', 'carats', 'marts']","['merits', 'merritt']","['merits', 'berets', 'merritt', 'carrots', 'ferrets', 'melts', 'narrates', 'carats', 'marts']"
nessecary,nessecary,humans healthy when less cars pollute the enviroment with gases and noise also it is ***mask*** to built roads through woods and fields whrere many wild creatures live and so their,N EH S AH K EH R IY,"['necessary', 'ancillary']",['nessecary'],"['nessecary', 'necessary', 'ancillary']","['necessary', 'ancillary']",['nessecary'],"['necessary', 'ancillary', 'nessecary']"
sstems,systems,us to drive cars with energy from water or sunlight the cars could have solar ***mask*** on the roof so the air would nont be polluted bz this way this would,S T EH M Z,"['stems', 'steams', 'stemmed', 'stairs', 'stares', 'strums', 'streams', 'steamers', 'storms', 'steppers']","['systems', 'stems']","['systems', 'storms', 'stares', 'stairs', 'steamers', 'stemmed', 'steppers', 'steams', 'streams', 'stems', 'strums']","['storms', 'streams', 'steams', 'stems', 'stares', 'stairs', 'strums', 'steamers', 'steppers', 'stemmed']","['systems', 'stems']","['systems', 'storms', 'streams', 'steams', 'stems', 'stares', 'stairs', 'strums', 'steamers', 'steppers', 'stemmed']"
destroied,destroyed,roads through woods and fields whrere many wild creatures live and so their homeplaces were ***mask*** people can also go by train bus and bycicles or by feet or drive together,D IH S T R OY D,"['destroyed', 'destroyer', 'destroys', 'destroyers', 'destroy', 'distraught', 'destroying', 'disturbed', 'distress', 'distilled']",['destroyed'],"['destroys', 'destroying', 'disturbed', 'destroy', 'destroyers', 'destroyed', 'distraught', 'destroyer', 'distilled', 'distress']","['destroyed', 'disturbed', 'destroy', 'destroying', 'destroys', 'distilled', 'destroyers', 'distraught', 'destroyer', 'distress']",['destroyed'],"['destroyed', 'disturbed', 'destroy', 'destroying', 'destroys', 'distilled', 'destroyers', 'distraught', 'destroyer', 'distress']"
bycicles,bicycles,live and so their homeplaces were destroied people can also go by train bus and ***mask*** or by feet or drive together with other people in one car instead of driving,B AY S IH K AH L Z,"['bicycles', 'bicycled', 'bicycle', 'icicles', 'bifocals', 'bicycling', 'bicyclists', 'bicycling', 'icicle', 'sickles']","['bicycles', 'beccles', 'icicles']","['icicle', 'bifocals', 'icicles', 'bicycled', 'bicyclists', 'bicycles', 'sickles', 'bicycling', 'bicycle', 'beccles']","['bicycled', 'bicycle', 'bicycles', 'sickles', 'icicle', 'icicles', 'bifocals', 'bicyclists', 'bicycling']","['bicycles', 'beccles', 'icicles']","['bicycled', 'bicycle', 'bicycles', 'beccles', 'sickles', 'icicle', 'icicles', 'bifocals', 'bicyclists', 'bicycling']"
homeplaces,homes,to built roads through woods and fields whrere many wild creatures live and so their ***mask*** were destroied people can also go by train bus and bycicles or by feet or,HH OW M P L EY S IH Z,[''],['someplace'],['someplace'],[''],['someplace'],['someplace']
whrere,where,with gases and noise also it is nessecary to built roads through woods and fields ***mask*** many wild creatures live and so their homeplaces were destroied people can also go by,HH R IH R,"['greer', 'hair', 'hare', 'herr', 'hill', 'hit', 'hid', 'hire', 'here', 'hear']",['where'],"['herr', 'hid', 'hare', 'hire', 'greer', 'hill', 'hair', 'hit', 'here', 'where', 'hear']","['here', 'hid', 'hear', 'hill', 'hit', 'hair', 'hare', 'herr', 'hire', 'greer']",['where'],"['where', 'here', 'hid', 'hear', 'hill', 'hit', 'hair', 'hare', 'herr', 'hire', 'greer']"
bz,by,cars could have solar sstems on the roof so the air would nont be polluted ***mask*** this way this would be a great,B IY T IY Z IY,"['beaters', 'breezy', 'booties', 'wheaties', 'beatles', 'beetles', 'batteries', 'beatings', 'meteors', 'beastly']","['b+', 'bg', 'bt', 'bc', 'bq', 'nz', 'bn', 'bf', 'b', 'yz', 'dz', 'bp', 'b.', 'bx', 'bd', 'baz', 'b1', 'by', 'zz', 'bzw', 'ba', 'hz', 'b6', 'b4', 'lz', 'bo', 'bw', 'bb', 'be', 'boz', 'b9', 'bl', 'bu', 'bh', 'b5', 'bs', 'sz', 'b-', 'mz', 'xz', 'bj', 'bv', 'b8', 'bk', 'b2', 'bkz', 'bzz', 'b7', 'bm', 'bez', 'biz', 'iz', 'b3', 'z', 'br', 'bi', 'oz']","['batteries', 'bq', 'bf', 'b', 'yz', 'bp', 'b.', 'baz', 'b1', 'zz', 'ba', 'b6', 'lz', 'booties', 'bw', 'bb', 'be', 'boz', 'bl', 'bh', 'bs', 'sz', 'b-', 'mz', 'breezy', 'b2', 'bkz', 'bez', 'biz', 'iz', 'b3', 'beetles', 'z', 'br', 'bu', 'bi', 'oz', 'bg', 'b+', 'wheaties', 'bc', 'bt', 'nz', 'bn', 'dz', 'beatles', 'bx', 'bd', 'by', 'bzw', 'hz', 'b4', 'bo', 'b9', 'b5', 'xz', 'bj', 'bv', 'b8', 'bk', 'b7', 'bm', 'meteors', 'beastly', 'beaters', 'beatings', 'bzz']","['batteries', 'beatings', 'beaters', 'beastly', 'beetles', 'booties', 'wheaties', 'breezy', 'meteors', 'beatles']","['by', 'be', 'bez', 'iz', 'b+', 'bq', 'b', 'b.', 'bx', 'bd', 'bzw', 'b6', 'b4', 'bw', 'b9', 'bl', 'bh', 'b5', 'b-', 'bj', 'bv', 'b8', 'b2', 'b7', 'bm', 'b3', 'bzz', 'bg', 'xz', 'sz', 'dz', 'mz', 'lz', 'bc', 'baz', 'ba', 'bo', 'boz', 'zz', 'z', 'yz', 'bi', 'biz', 'bb', 'bs', 'bk', 'bkz', 'nz', 'oz', 'br', 'bt', 'bu', 'b1', 'bp', 'bf', 'bn', 'hz']","['by', 'be', 'bez', 'iz', 'b+', 'bg', 'bq', 'b', 'b.', 'bx', 'bd', 'bzw', 'b6', 'b4', 'bw', 'bl', 'b9', 'bh', 'b5', 'b-', 'bj', 'bv', 'b8', 'b2', 'bzz', 'b7', 'bm', 'b3', 'xz', 'sz', 'dz', 'mz', 'lz', 'bc', 'batteries', 'baz', 'ba', 'bo', 'boz', 'zz', 'z', 'yz', 'biz', 'bi', 'beatings', 'bb', 'bs', 'bk', 'bkz', 'beaters', 'nz', 'oz', 'br', 'bt', 'beastly', 'beetles', 'booties', 'bu', 'wheaties', 'breezy', 'b1', 'bp', 'bf', 'meteors', 'bn', 'beatles', 'hz']"
recources,resources,instead of driving alone i think changes in getting oil will force this behaviour oil ***mask*** are decreasing remarkable in the next twenty years and the price fot oil will increase,R IH K AO R S IH Z,"['recorders', 'records', 'resources', 'recorded', 'divorces', 'recording', 'choruses', 'discourses', 'discourses', 'recordings']",['resources'],"['discourses', 'recordings', 'records', 'choruses', 'divorces', 'recording', 'recorders', 'resources', 'recorded']","['resources', 'records', 'recordings', 'recorded', 'discourses', 'divorces', 'recording', 'choruses', 'recorders']",['resources'],"['resources', 'records', 'recordings', 'recorded', 'discourses', 'divorces', 'recording', 'choruses', 'recorders']"
declaired,declared,for almost everybody one example of a failing result is sometimes even a book wich ***mask*** to be the best praparation for a test and it did not help at all,D IH K L EH R D,"['declared', 'declares', 'dickhead', 'declaimed', 'declare', 'deplored', 'declined', 'declaring', 'decreed', 'decried']","['declared', 'declaimed']","['deplored', 'declares', 'decried', 'declare', 'declaimed', 'dickhead', 'declined', 'declared', 'decreed', 'declaring']","['declared', 'declined', 'decreed', 'declares', 'declare', 'declaring', 'deplored', 'decried', 'declaimed', 'dickhead']","['declared', 'declaimed']","['declared', 'declined', 'decreed', 'declares', 'declare', 'declaring', 'deplored', 'decried', 'declaimed', 'dickhead']"
comptible,compatible,in travelcataloges we look up in research for a nice place to have some vacationtime ***mask*** hotels and the magazin shows us a varitie of wunderfull posibilities of enjoing our staying,K AA M P T AH B AH L,"['comparable', 'constable', 'compatible', 'comparably', 'adoptable']",['compatible'],"['comparable', 'comparably', 'adoptable', 'constable', 'compatible']","['comparable', 'compatible', 'comparably', 'adoptable', 'constable']",['compatible'],"['comparable', 'compatible', 'comparably', 'adoptable', 'constable']"
travelcataloges,travel catalogs,something it can not beeing fullfilled another example i like to use are advertisements in ***mask*** we look up in research for a nice place to have some vacationtime comptible hotels,T R AE V AH L K AE T AH L AO JH AH Z,[''],['travelcataloges'],['travelcataloges'],[''],['travelcataloges'],['travelcataloges']
wunderfull,wonderfull,place to have some vacationtime comptible hotels and the magazin shows us a varitie of ***mask*** posibilities of enjoing our staying and by the time we arriving there is just nothing,W AH N D ER F AH L,"['wonderful', 'wonderfully', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']"
varitie,variety,a nice place to have some vacationtime comptible hotels and the magazin shows us a ***mask*** of wunderfull posibilities of enjoing our staying and by the time we arriving there is,V EH R IH T IY,"['verity', 'verity', 'charity', 'rarity', 'verdi', 'vanity', 'parity', 'rarity', 'merits', 'levity']","['variate', 'parities', 'maritime', 'rarities', 'partie', 'vanities', 'verities', 'varieties']","['variate', 'verdi', 'parities', 'verity', 'charity', 'vanity', 'merits', 'maritime', 'levity', 'rarities', 'partie', 'rarity', 'vanities', 'verities', 'parity', 'varieties']","['verity', 'vanity', 'rarity', 'charity', 'parity', 'merits', 'verdi', 'levity']","['partie', 'varieties', 'vanities', 'rarities', 'variate', 'parities', 'verities', 'maritime']","['partie', 'varieties', 'verity', 'vanities', 'vanity', 'rarities', 'rarity', 'charity', 'variate', 'parities', 'parity', 'merits', 'verities', 'verdi', 'maritime', 'levity']"
vacationtime,vacation time,advertisements in travelcataloges we look up in research for a nice place to have some ***mask*** comptible hotels and the magazin shows us a varitie of wunderfull posibilities of enjoing our,V EY K EY SH AH N T AY M,[''],['vacationtime'],['vacationtime'],[''],['vacationtime'],['vacationtime']
fashonindustry,fashion industry,i hold this opinion for the following reasons if we think about cataloges around the ***mask*** we have all these perfect looking models in mind with dreambodys and we suggest the,F AE SH AH N IH N D AH S T R IY,[''],['fashonindustry'],['fashonindustry'],[''],['fashonindustry'],['fashonindustry']
dreambodys,dream bodies,about cataloges around the fashonindustry we have all these perfect looking models in mind with ***mask*** and we suggest the clothes these models are wearing must also perfekt fit to us,D R IY M B AA D IY Z,[''],['dreambodys'],['dreambodys'],[''],['dreambodys'],['dreambodys']
magzin,magazine,and by the time we arriving there is just nothing left from the sites the ***mask*** had offered us this can be a very disappointing experience for almost everybody one example,M AE G Z IH N,"['magazine', 'madelyn', 'magnum', 'magnate', 'magnet', 'magnate', 'magpies', 'jasmine', 'mags']",['mazzin'],"['mags', 'magnate', 'jasmine', 'mazzin', 'magpies', 'magnet', 'madelyn', 'magnum', 'magazine']","['magazine', 'madelyn', 'magnet', 'mags', 'magpies', 'magnate', 'magnum', 'jasmine']",['mazzin'],"['magazine', 'madelyn', 'magnet', 'mags', 'magpies', 'magnate', 'mazzin', 'magnum', 'jasmine']"
enjoing,enjoying,some vacationtime comptible hotels and the magazin shows us a varitie of wunderfull posibilities of ***mask*** our staying and by the time we arriving there is just nothing left from the,EH N JH OW IH NG,"['enjoying', 'injuring', 'unknowing', 'ongoing', 'ongoing', 'endowing', 'entering', 'ensuing', 'elbowing', 'anything']","['enjoins', 'enjoin', 'enjoying']","['endowing', 'enjoin', 'anything', 'elbowing', 'injuring', 'ensuing', 'entering', 'unknowing', 'enjoying', 'ongoing', 'enjoins']","['enjoying', 'anything', 'endowing', 'entering', 'unknowing', 'ongoing', 'ensuing', 'injuring', 'elbowing']","['enjoying', 'enjoins', 'enjoin']","['enjoying', 'anything', 'endowing', 'entering', 'enjoin', 'enjoins', 'unknowing', 'ongoing', 'ensuing', 'injuring', 'elbowing']"
perfekt,perfect,in mind with dreambodys and we suggest the clothes these models are wearing must also ***mask*** fit to us we have no clue that this is not going to happen the,P ER F IH K T,"['perfect', 'perfect', 'pricked', 'perfecta', 'perforate', 'panicked', 'surfaced', 'persist', 'verdict', 'perfidy']",['perfect'],"['perfect', 'perforate', 'persist', 'pricked', 'perfidy', 'verdict', 'surfaced', 'perfecta', 'panicked']","['perfect', 'perfecta', 'perforate', 'perfidy', 'persist', 'verdict', 'pricked', 'surfaced', 'panicked']",['perfect'],"['perfect', 'perfecta', 'perforate', 'perfidy', 'persist', 'verdict', 'pricked', 'surfaced', 'panicked']"
praparation,preparation,of a failing result is sometimes even a book wich declaired to be the best ***mask*** for a test and it did not help at all,P R AE P ER EY SH AH N,"['preparation', 'perspiration', 'evaporation', 'evaporation', 'preparations', 'reparation', 'aspiration', 'corporation', 'corp', 'respiration']",['preparation'],"['preparation', 'aspiration', 'preparations', 'corporation', 'perspiration', 'corp', 'reparation', 'respiration', 'evaporation']","['preparation', 'preparations', 'aspiration', 'perspiration', 'respiration', 'evaporation', 'reparation', 'corporation', 'corp']",['preparation'],"['preparation', 'preparations', 'aspiration', 'perspiration', 'respiration', 'evaporation', 'reparation', 'corporation', 'corp']"
