Error,Correction,Masked Context,Phoneme Seq,S-Capade Candidates,PySpell Candidates,Combined Candidates,S-Capade Ranked,PySpell Ranked,Combined Ranked
builtin,building,traffic jam with his audio entertainment center the meanwhile usual ***mask*** internet acess than waiting at a freezy train station if,B IH L T IH N,"['builtin', 'building', 'belting', 'bolton', 'billiton', 'bolting', 'berliner', 'bilking', 'milton', 'hilton']",['built-in'],"['milton', 'builtin', 'hilton', 'built-in', 'bolting', 'belting', 'bilking', 'berliner', 'building', 'billiton', 'bolton']","['building', 'billiton', 'bilking', 'berliner', 'builtin', 'bolton', 'belting', 'milton', 'bolting', 'hilton']",['built-in'],"['building', 'billiton', 'bilking', 'berliner', 'builtin', 'built-in', 'bolton', 'belting', 'milton', 'bolting', 'hilton']"
chineese,chinese,reduce over the next 20 years think of all the ***mask*** people who still do have a car in their family,CH IH N IY Z,"['chinese', 'chillies', 'minis', 'guineas', 'journeys', 'denise', 'chimneys', 'sneeze', 'cherries', 'nannies']",['chinese'],"['chimneys', 'cherries', 'denise', 'sneeze', 'chinese', 'minis', 'journeys', 'nannies', 'guineas', 'chillies']","['chinese', 'minis', 'journeys', 'cherries', 'sneeze', 'chillies', 'chimneys', 'denise', 'guineas', 'nannies']",['chinese'],"['chinese', 'minis', 'journeys', 'cherries', 'sneeze', 'chillies', 'chimneys', 'denise', 'guineas', 'nannies']"
puplic,public,number of cars may increase not that much as the ***mask*** transportation becomes more attractive with increasing traffic jams on the,P AH P L IH K,"['public', 'peptic', 'poplin', 'purplish', 'publish', 'coupling', 'puzzling', 'puppet', 'uptick', 'pelvic']",['public'],"['pelvic', 'poplin', 'coupling', 'peptic', 'uptick', 'purplish', 'public', 'puppet', 'publish', 'puzzling']","['public', 'uptick', 'poplin', 'pelvic', 'purplish', 'puzzling', 'coupling', 'puppet', 'peptic', 'publish']",['public'],"['public', 'uptick', 'poplin', 'pelvic', 'purplish', 'puzzling', 'coupling', 'puppet', 'peptic', 'publish']"
hamrs,hairs,that they show no effect but in contrary even sometimes ***mask*** the skin if this would be told in an advertisment,HH AE M ER Z,"['hammers', 'homers', 'hammered', 'hangers', 'hangars', 'hackers', 'hems', 'hymns', 'hums', 'hands', 'hans']","['hams', 'harms', 'hamas', 'hairs']","['hairs', 'hymns', 'hammered', 'hems', 'homers', 'hums', 'hammers', 'hands', 'hangers', 'hackers', 'harms', 'hamas', 'hams', 'hangars', 'hans']","['hangers', 'hums', 'hammers', 'hackers', 'hems', 'hands', 'homers', 'hymns', 'hangars', 'hans', 'hammered']","['harms', 'hairs', 'hams', 'hamas']","['harms', 'hangers', 'hums', 'hammers', 'hairs', 'hackers', 'hems', 'hands', 'hams', 'homers', 'hymns', 'hangars', 'hans', 'hammered', 'hamas']"
exaample,example,product is tested by independent magazines or something alike for ***mask*** computer magazines that test hardware and software so you can,IH G Z AA M P AH L,"['example', 'examples']",['example'],"['examples', 'example']","['example', 'examples']",['example'],"['example', 'examples']"
characterisitcs,characteristics,hide some sides of the product to show this hidden ***mask*** almost every product is tested by independent magazines or something,K EH R AH K T ER IH Z IH T S,[],['characteristics'],['characteristics'],[],['characteristics'],['characteristics']
advertisments,advertisements,might get the impression of a much cheaper product in ***mask*** flaws of products are never told expect there are special,AE D V ER T IH Z M AH N T S,"['advertisements', 'advertisement', 'advertisement']","['advertisements', 'advertisment']","['advertisement', 'advertisements', 'advertisment']","['advertisements', 'advertisement']","['advertisements', 'advertisment']","['advertisements', 'advertisement', 'advertisment']"
actuallt,actually,situation makes a better exposure of a product than it ***mask*** is very likely an example might be creams that should,AE K CH UW AH L T,"['actually', 'actuate', 'factual', 'actuator', 'actual', 'actualize', 'factually']",['actually'],"['actualize', 'factually', 'actuate', 'actuator', 'factual', 'actual', 'actually']","['actually', 'actualize', 'actual', 'factually', 'factual', 'actuator', 'actuate']",['actually'],"['actually', 'actualize', 'actual', 'factually', 'factual', 'actuator', 'actuate']"
merrits,merits,contract the last reason is that everything has not only ***mask*** but also flaws which are typically not displayed in order,M EH R IH T S,"['merits', 'merits', 'melts', 'narrates', 'narrates', 'merritt', 'berets', 'marts', 'ferrets', 'carrots', 'carats']","['merits', 'merritt']","['marts', 'merits', 'ferrets', 'narrates', 'carrots', 'merritt', 'melts', 'carats', 'berets']","['merits', 'berets', 'ferrets', 'carrots', 'melts', 'merritt', 'carats', 'marts', 'narrates']","['merits', 'merritt']","['merits', 'berets', 'ferrets', 'carrots', 'melts', 'merritt', 'carats', 'marts', 'narrates']"
nessecary,nessecary,pollute the enviroment with gases and noise also it is ***mask*** to built roads through woods and fields whrere many wild,N EH S AH K EH R IY,"['necessary', 'ancillary']",['nessecary'],"['nessecary', 'necessary', 'ancillary']","['necessary', 'ancillary']",['nessecary'],"['necessary', 'ancillary', 'nessecary']"
sstems,systems,energy from water or sunlight the cars could have solar ***mask*** on the roof so the air would nont be polluted,S T EH M Z,"['stems', 'steams', 'stemmed', 'stairs', 'stares', 'strums', 'streams', 'steamers', 'storms', 'steppers']","['systems', 'stems']","['systems', 'storms', 'stares', 'stairs', 'steamers', 'stemmed', 'steppers', 'steams', 'streams', 'stems', 'strums']","['streams', 'storms', 'steams', 'stems', 'stairs', 'stares', 'strums', 'steamers', 'steppers', 'stemmed']","['systems', 'stems']","['systems', 'streams', 'storms', 'steams', 'stems', 'stairs', 'stares', 'strums', 'steamers', 'steppers', 'stemmed']"
destroied,destroyed,whrere many wild creatures live and so their homeplaces were ***mask*** people can also go by train bus and bycicles or,D IH S T R OY D,"['destroyed', 'destroyer', 'destroys', 'destroyers', 'destroy', 'distraught', 'destroying', 'disturbed', 'distress', 'distilled']",['destroyed'],"['destroys', 'destroying', 'disturbed', 'destroy', 'destroyers', 'destroyed', 'distraught', 'destroyer', 'distilled', 'distress']","['destroyed', 'disturbed', 'destroy', 'destroying', 'destroys', 'distilled', 'distraught', 'destroyers', 'destroyer', 'distress']",['destroyed'],"['destroyed', 'disturbed', 'destroy', 'destroying', 'destroys', 'distilled', 'distraught', 'destroyers', 'destroyer', 'distress']"
bycicles,bicycles,were destroied people can also go by train bus and ***mask*** or by feet or drive together with other people in,B AY S IH K AH L Z,"['bicycles', 'bicycled', 'bicycle', 'icicles', 'bifocals', 'bicycling', 'bicyclists', 'bicycling', 'icicle', 'sickles']","['bicycles', 'beccles', 'icicles']","['icicle', 'bifocals', 'icicles', 'bicycled', 'bicyclists', 'bicycles', 'sickles', 'bicycling', 'bicycle', 'beccles']","['bicycled', 'bicycle', 'bicycles', 'sickles', 'icicle', 'icicles', 'bifocals', 'bicyclists', 'bicycling']","['bicycles', 'beccles', 'icicles']","['bicycled', 'bicycle', 'bicycles', 'beccles', 'sickles', 'icicle', 'icicles', 'bifocals', 'bicyclists', 'bicycling']"
homeplaces,homes,and fields whrere many wild creatures live and so their ***mask*** were destroied people can also go by train bus and,HH OW M P L EY S IH Z,[],['someplace'],['someplace'],[],['someplace'],['someplace']
whrere,where,it is nessecary to built roads through woods and fields ***mask*** many wild creatures live and so their homeplaces were destroied,HH R IH R,"['greer', 'hair', 'hare', 'herr', 'hill', 'hit', 'hid', 'hire', 'here', 'hear']",['where'],"['herr', 'hid', 'hare', 'hire', 'greer', 'hill', 'hair', 'hit', 'here', 'where', 'hear']","['here', 'hid', 'hear', 'hill', 'hare', 'hit', 'hair', 'herr', 'hire', 'greer']",['where'],"['where', 'here', 'hid', 'hear', 'hill', 'hare', 'hit', 'hair', 'herr', 'hire', 'greer']"
bz,by,on the roof so the air would nont be polluted ***mask*** this way this would be a great,B IY T IY Z IY,"['beaters', 'breezy', 'booties', 'wheaties', 'beatles', 'beetles', 'batteries', 'beatings', 'meteors', 'beastly']","['b+', 'bg', 'bt', 'bc', 'bq', 'nz', 'bn', 'bf', 'b', 'yz', 'dz', 'bp', 'b.', 'bx', 'bd', 'baz', 'b1', 'by', 'zz', 'bzw', 'ba', 'hz', 'b6', 'b4', 'lz', 'bo', 'bw', 'bb', 'be', 'boz', 'b9', 'bl', 'bu', 'bh', 'b5', 'bs', 'sz', 'b-', 'mz', 'xz', 'bj', 'bv', 'b8', 'bk', 'b2', 'bkz', 'bzz', 'b7', 'bm', 'bez', 'biz', 'iz', 'b3', 'z', 'br', 'bi', 'oz']","['batteries', 'bq', 'bf', 'b', 'yz', 'bp', 'b.', 'baz', 'b1', 'zz', 'ba', 'b6', 'lz', 'booties', 'bw', 'bb', 'be', 'boz', 'bl', 'bh', 'bs', 'sz', 'b-', 'mz', 'breezy', 'b2', 'bkz', 'bez', 'biz', 'iz', 'b3', 'beetles', 'z', 'br', 'bu', 'bi', 'oz', 'bg', 'b+', 'wheaties', 'bc', 'bt', 'nz', 'bn', 'dz', 'beatles', 'bx', 'bd', 'by', 'bzw', 'hz', 'b4', 'bo', 'b9', 'b5', 'xz', 'bj', 'bv', 'b8', 'bk', 'b7', 'bm', 'meteors', 'beastly', 'beaters', 'beatings', 'bzz']","['beatings', 'beaters', 'batteries', 'beastly', 'wheaties', 'booties', 'beetles', 'breezy', 'beatles', 'meteors']","['by', 'be', 'bez', 'iz', 'sz', 'b+', 'bq', 'b', 'b.', 'bx', 'bd', 'bzw', 'b6', 'b4', 'bw', 'b9', 'bl', 'bh', 'b5', 'b-', 'bj', 'bv', 'b8', 'b2', 'b7', 'bm', 'b3', 'bzz', 'bg', 'mz', 'dz', 'lz', 'xz', 'baz', 'ba', 'yz', 'bc', 'bo', 'boz', 'bi', 'biz', 'zz', 'z', 'bk', 'bkz', 'bt', 'bu', 'br', 'bb', 'b1', 'bs', 'oz', 'nz', 'bn', 'bf', 'bp', 'hz']","['by', 'be', 'bez', 'iz', 'sz', 'b+', 'bg', 'bq', 'b', 'b.', 'bx', 'bd', 'bzw', 'b6', 'b4', 'bw', 'bl', 'b9', 'bh', 'b5', 'b-', 'bj', 'bv', 'b8', 'b2', 'bzz', 'b7', 'bm', 'b3', 'mz', 'dz', 'lz', 'xz', 'baz', 'ba', 'beatings', 'yz', 'beaters', 'bc', 'bo', 'boz', 'biz', 'bi', 'zz', 'z', 'bk', 'bkz', 'bt', 'bu', 'br', 'bb', 'batteries', 'beastly', 'b1', 'bs', 'oz', 'wheaties', 'booties', 'beetles', 'nz', 'bn', 'bf', 'breezy', 'beatles', 'bp', 'hz', 'meteors']"
recources,resources,think changes in getting oil will force this behaviour oil ***mask*** are decreasing remarkable in the next twenty years and the,R IH K AO R S IH Z,"['recorders', 'records', 'resources', 'recorded', 'divorces', 'recording', 'choruses', 'discourses', 'discourses', 'recordings']",['resources'],"['discourses', 'recordings', 'records', 'choruses', 'divorces', 'recording', 'recorders', 'resources', 'recorded']","['resources', 'records', 'recordings', 'recorded', 'discourses', 'divorces', 'recording', 'choruses', 'recorders']",['resources'],"['resources', 'records', 'recordings', 'recorded', 'discourses', 'divorces', 'recording', 'choruses', 'recorders']"
declaired,declared,of a failing result is sometimes even a book wich ***mask*** to be the best praparation for a test and it,D IH K L EH R D,"['declared', 'declares', 'dickhead', 'declaimed', 'declare', 'deplored', 'declined', 'declaring', 'decreed', 'decried']","['declared', 'declaimed']","['deplored', 'declares', 'decried', 'declare', 'declaimed', 'dickhead', 'declined', 'declared', 'decreed', 'declaring']","['declares', 'declared', 'decreed', 'declare', 'declaring', 'deplored', 'declined', 'dickhead', 'decried', 'declaimed']","['declared', 'declaimed']","['declares', 'declared', 'decreed', 'declare', 'declaring', 'deplored', 'declined', 'dickhead', 'decried', 'declaimed']"
comptible,compatible,in research for a nice place to have some vacationtime ***mask*** hotels and the magazin shows us a varitie of wunderfull,K AA M P T AH B AH L,"['comparable', 'constable', 'compatible', 'comparably', 'adoptable']",['compatible'],"['comparable', 'comparably', 'adoptable', 'constable', 'compatible']","['comparably', 'comparable', 'compatible', 'adoptable', 'constable']",['compatible'],"['comparably', 'comparable', 'compatible', 'adoptable', 'constable']"
travelcataloges,travel catalogs,fullfilled another example i like to use are advertisements in ***mask*** we look up in research for a nice place to,T R AE V AH L K AE T AH L AO JH AH Z,[],['travelcataloges'],['travelcataloges'],[],['travelcataloges'],['travelcataloges']
wunderfull,wonderfull,comptible hotels and the magazin shows us a varitie of ***mask*** posibilities of enjoing our staying and by the time we,W AH N D ER F AH L,"['wonderful', 'wonderfully', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']","['wonderful', 'wonderfully']"
varitie,variety,some vacationtime comptible hotels and the magazin shows us a ***mask*** of wunderfull posibilities of enjoing our staying and by the,V EH R IH T IY,"['verity', 'verity', 'charity', 'rarity', 'verdi', 'vanity', 'parity', 'rarity', 'merits', 'levity']","['variate', 'parities', 'maritime', 'rarities', 'partie', 'vanities', 'verities', 'varieties']","['variate', 'verdi', 'parities', 'verity', 'charity', 'vanity', 'merits', 'maritime', 'levity', 'rarities', 'partie', 'rarity', 'vanities', 'verities', 'parity', 'varieties']","['vanity', 'verity', 'rarity', 'charity', 'merits', 'parity', 'verdi', 'levity']","['partie', 'varieties', 'vanities', 'rarities', 'variate', 'verities', 'parities', 'maritime']","['partie', 'varieties', 'vanity', 'verity', 'vanities', 'rarities', 'rarity', 'charity', 'variate', 'merits', 'verities', 'parities', 'parity', 'verdi', 'maritime', 'levity']"
vacationtime,vacation time,up in research for a nice place to have some ***mask*** comptible hotels and the magazin shows us a varitie of,V EY K EY SH AH N T AY M,[],['vacationtime'],['vacationtime'],[],['vacationtime'],['vacationtime']
fashonindustry,fashion industry,the following reasons if we think about cataloges around the ***mask*** we have all these perfect looking models in mind with,F AE SH AH N IH N D AH S T R IY,[],['fashonindustry'],['fashonindustry'],[],['fashonindustry'],['fashonindustry']
dreambodys,dream bodies,we have all these perfect looking models in mind with ***mask*** and we suggest the clothes these models are wearing must,D R IY M B AA D IY Z,[],['dreambodys'],['dreambodys'],[],['dreambodys'],['dreambodys']
magzin,magazine,arriving there is just nothing left from the sites the ***mask*** had offered us this can be a very disappointing experience,M AE G Z IH N,"['magazine', 'madelyn', 'magnum', 'magnate', 'magnet', 'magnate', 'magpies', 'jasmine', 'mags']",['mazzin'],"['mags', 'magnate', 'jasmine', 'mazzin', 'magpies', 'magnet', 'madelyn', 'magnum', 'magazine']","['magazine', 'madelyn', 'magnate', 'mags', 'magpies', 'magnet', 'magnum', 'jasmine']",['mazzin'],"['magazine', 'madelyn', 'magnate', 'mazzin', 'mags', 'magpies', 'magnet', 'magnum', 'jasmine']"
enjoing,enjoying,the magazin shows us a varitie of wunderfull posibilities of ***mask*** our staying and by the time we arriving there is,EH N JH OW IH NG,"['enjoying', 'injuring', 'unknowing', 'ongoing', 'ongoing', 'endowing', 'entering', 'ensuing', 'elbowing', 'anything']","['enjoins', 'enjoin', 'enjoying']","['endowing', 'enjoin', 'anything', 'elbowing', 'injuring', 'ensuing', 'entering', 'unknowing', 'enjoying', 'ongoing', 'enjoins']","['enjoying', 'anything', 'endowing', 'entering', 'unknowing', 'ongoing', 'injuring', 'ensuing', 'elbowing']","['enjoying', 'enjoins', 'enjoin']","['enjoying', 'anything', 'endowing', 'entering', 'enjoin', 'enjoins', 'unknowing', 'ongoing', 'injuring', 'ensuing', 'elbowing']"
perfekt,perfect,we suggest the clothes these models are wearing must also ***mask*** fit to us we have no clue that this is,P ER F IH K T,"['perfect', 'perfect', 'pricked', 'perfecta', 'perforate', 'panicked', 'surfaced', 'persist', 'verdict', 'perfidy']",['perfect'],"['perfect', 'perforate', 'persist', 'pricked', 'perfidy', 'verdict', 'surfaced', 'perfecta', 'panicked']","['perfect', 'perfecta', 'perforate', 'perfidy', 'persist', 'verdict', 'pricked', 'surfaced', 'panicked']",['perfect'],"['perfect', 'perfecta', 'perforate', 'perfidy', 'persist', 'verdict', 'pricked', 'surfaced', 'panicked']"
praparation,preparation,sometimes even a book wich declaired to be the best ***mask*** for a test and it did not help at all,P R AE P ER EY SH AH N,"['preparation', 'perspiration', 'evaporation', 'evaporation', 'preparations', 'reparation', 'aspiration', 'corporation', 'corp', 'respiration']",['preparation'],"['preparation', 'aspiration', 'preparations', 'corporation', 'perspiration', 'corp', 'reparation', 'respiration', 'evaporation']","['preparation', 'preparations', 'aspiration', 'respiration', 'reparation', 'perspiration', 'corporation', 'evaporation', 'corp']",['preparation'],"['preparation', 'preparations', 'aspiration', 'respiration', 'reparation', 'perspiration', 'corporation', 'evaporation', 'corp']"
magazin,magazine,nice place to have some vacationtime comptible hotels and the ***mask*** shows us a varitie of wunderfull posibilities of enjoing our,M AE G AH Z IH N,"['magazine', 'madeline', 'mannequin', 'magazines']",['magazine'],"['mannequin', 'magazines', 'madeline', 'magazine']","['magazine', 'magazines', 'mannequin', 'madeline']",['magazine'],"['magazine', 'magazines', 'mannequin', 'madeline']"
posibilities,possibilities,hotels and the magazin shows us a varitie of wunderfull ***mask*** of enjoing our staying and by the time we arriving,P AA Z AH B IH L AH T IY Z,"['possibilities', 'probabilities', 'possibility', 'capabilities', 'probability']",['possibilities'],"['probability', 'capabilities', 'probabilities', 'possibilities', 'possibility']","['possibilities', 'probability', 'possibility', 'capabilities', 'probabilities']",['possibilities'],"['possibilities', 'probability', 'possibility', 'capabilities', 'probabilities']"
productes,products,i agree with with the statement that most advertisement make ***mask*** looking better than they actually are i hold this opinion,P R AH D AH K T S,"['products', 'predicts', 'protects', 'predicts', 'productive', 'viaducts', 'predicates', 'products', 'product', 'predicate']","['produces', 'products']","['products', 'produces', 'product', 'predicts', 'predicates', 'viaducts', 'productive', 'predicate', 'protects']","['products', 'product', 'predicates', 'predicate', 'predicts', 'viaducts', 'protects', 'productive']","['products', 'produces']","['products', 'product', 'produces', 'predicates', 'predicate', 'predicts', 'viaducts', 'protects', 'productive']"
